Model,Metric,Optimizer,User_based,k,RMSE,MAE,MSE,Precision,Recall,Accuracy,DataSet
KNNBasic,pearson,als,False,5,0.76653494202056,0.4263520355350304,0.5875758173384633,0.15873015873015872,0.09964726631393298,66.66666666666666,upsampled_df_smote_auto
KNNBasic,pearson,als,False,10,0.7356243272619675,0.4007700736016079,0.5411431508596223,0.18238993710691823,0.1292763839933651,67.43295019157088,upsampled_df_smote_auto
KNNBasic,pearson_baseline,sgd,True,5,0.7765615014186221,0.40662769952172323,0.6030477654855446,0.15151515151515152,0.08746993746993748,68.96551724137932,upsampled_df_smote_auto
KNNBasic,pearson_baseline,sgd,True,10,0.691981984974563,0.3798019931146059,0.47883906752933625,0.18128654970760233,0.1431888544891641,68.19923371647509,upsampled_df_smote_auto
KNNBasic,pearson_baseline,als,True,5,0.8961360149260814,0.5190729376784058,0.803059757247598,0.13970588235294118,0.10101638557520912,63.601532567049816,upsampled_df_smote_auto
KNNBasic,pearson_baseline,als,True,10,0.7544298733103147,0.400146208792858,0.5691644337430175,0.15343915343915343,0.11339709673043005,68.96551724137932,upsampled_df_smote_auto
KNNBasic,pearson_baseline,sgd,False,5,0.7674666920680754,0.4285990071577048,0.5890051234339141,0.16727272727272727,0.09208579299488391,66.66666666666666,upsampled_df_smote_auto
KNNBasic,pearson_baseline,sgd,False,10,0.8315245045322102,0.4690134472493099,0.6914330016375375,0.12307692307692308,0.07781513358436436,65.13409961685824,upsampled_df_smote_auto
KNNBasic,pearson_baseline,als,False,5,0.7218197732782798,0.3888437618830154,0.5210237850955073,0.19345238095238096,0.1608984502892066,68.96551724137932,upsampled_df_smote_auto
KNNBasic,pearson_baseline,als,False,10,0.8482082312888901,0.4896511524858769,0.7194572036262273,0.14444444444444443,0.10346153846153847,63.2183908045977,upsampled_df_smote_auto
KNNWithMeans,cosine,sgd,True,5,0.8223689324240356,0.4726862651394399,0.676290661016248,0.13163841807909604,0.11404823989569753,66.66666666666666,upsampled_df_smote_auto
KNNWithMeans,cosine,sgd,True,10,0.7826453222793945,0.41737334032841455,0.6125337004858173,0.22511709601873536,0.18653750620963735,70.49808429118774,upsampled_df_smote_auto
KNNWithMeans,cosine,als,True,5,0.7697953510826696,0.4355121728794143,0.5925848825484906,0.23195084485407066,0.19276433691756273,67.43295019157088,upsampled_df_smote_auto
KNNWithMeans,cosine,als,True,10,0.7617577480965761,0.4338496107910557,0.5802748667851667,0.18839285714285717,0.14735299422799425,66.66666666666666,upsampled_df_smote_auto
KNNWithMeans,cosine,sgd,False,5,0.728847126371874,0.40047948089916,0.5312181336205384,0.20438842203548085,0.17383878877686926,67.81609195402298,upsampled_df_smote_auto
KNNWithMeans,cosine,sgd,False,10,0.7879717992175489,0.4468883647039516,0.6208995563621412,0.15570175438596492,0.11362273204378467,65.51724137931035,upsampled_df_smote_auto
KNNWithMeans,cosine,als,False,5,0.8250636325689513,0.4583235478840446,0.6807299977878736,0.14636015325670498,0.10689655172413792,65.90038314176245,upsampled_df_smote_auto
KNNWithMeans,cosine,als,False,10,0.8665108022267227,0.4997447969413442,0.7508409703755986,0.19401709401709402,0.154493006993007,63.984674329501914,upsampled_df_smote_auto
KNNWithMeans,msd,sgd,True,5,0.8122680661103504,0.46434584477794605,0.6597794112226485,0.22663139329805995,0.19535300090855645,65.51724137931035,upsampled_df_smote_auto
KNNWithMeans,msd,sgd,True,10,0.778322307548517,0.4320083786621029,0.6057856144276481,0.2303030303030303,0.1793939393939394,68.19923371647509,upsampled_df_smote_auto
KNNWithMeans,msd,als,True,5,0.8209559238401894,0.5121396409319332,0.673968628888299,0.21386800334168754,0.17566137566137566,58.23754789272031,upsampled_df_smote_auto
KNNWithMeans,msd,als,True,10,0.8427785947339027,0.4441190883567675,0.7102757597416519,0.2403225806451613,0.1692652329749104,69.34865900383141,upsampled_df_smote_auto
KNNWithMeans,msd,sgd,False,5,0.8134928502540477,0.4620013710418143,0.6617706174144545,0.14583333333333331,0.11542950513538748,65.51724137931035,upsampled_df_smote_auto
KNNWithMeans,msd,sgd,False,10,0.9390639034346248,0.5503836941674008,0.8818410147338742,0.15226337448559668,0.11887926887926888,63.2183908045977,upsampled_df_smote_auto
KNNWithMeans,msd,als,False,5,0.7464722568749277,0.4100865159506743,0.557220830283948,0.18452380952380953,0.1613858363858364,69.34865900383141,upsampled_df_smote_auto
KNNWithMeans,msd,als,False,10,0.7588102511811768,0.43162410613738517,0.5757929972976408,0.23076923076923078,0.18344322344322345,65.90038314176245,upsampled_df_smote_auto
KNNWithMeans,pearson,sgd,True,5,0.8207242448893487,0.5010186938876717,0.6735882861491916,0.15456989247311825,0.11005258182677537,62.83524904214559,upsampled_df_smote_auto
KNNWithMeans,pearson,sgd,True,10,0.8165268507044721,0.481021239934319,0.6667160979213632,0.17684729064039406,0.13298937652385928,62.83524904214559,upsampled_df_smote_auto
KNNWithMeans,pearson,als,True,5,0.8924972988223324,0.5221334342389886,0.7965514284051597,0.14067796610169492,0.12446498887176854,62.45210727969349,upsampled_df_smote_auto
KNNWithMeans,pearson,als,True,10,0.6997350020156912,0.3703220706849817,0.4896290730458993,0.17592592592592593,0.1342627960275019,70.49808429118774,upsampled_df_smote_auto
KNNWithMeans,pearson,sgd,False,5,0.7458938277987975,0.41591288549496136,0.5563576023483422,0.1867924528301887,0.14356555394291243,67.04980842911877,upsampled_df_smote_auto
KNNWithMeans,pearson,sgd,False,10,0.7871071545651632,0.4211201567423091,0.6195376727676677,0.1864406779661017,0.14382566585956416,71.64750957854406,upsampled_df_smote_auto
KNNWithMeans,pearson,als,False,5,0.8038833769063051,0.46047970607206745,0.6462284836662845,0.22748538011695907,0.20344846072400252,64.36781609195403,upsampled_df_smote_auto
KNNWithMeans,pearson,als,False,10,0.8452421454133597,0.48327196210141693,0.7144342843829792,0.18948412698412698,0.14813579277864994,63.984674329501914,upsampled_df_smote_auto
KNNWithMeans,pearson_baseline,sgd,True,5,0.8329136343030633,0.4555689574533304,0.693745122207937,0.26904761904761904,0.22031539888682744,67.04980842911877,upsampled_df_smote_auto
KNNWithMeans,pearson_baseline,sgd,True,10,0.8297171177071304,0.481013808635733,0.688430495416228,0.14682539682539683,0.11383928571428571,64.75095785440614,upsampled_df_smote_auto
KNNWithMeans,pearson_baseline,als,True,5,0.8282362128602154,0.47265026373555324,0.6859752242930321,0.26721311475409837,0.2238680718188915,66.66666666666666,upsampled_df_smote_auto
KNNWithMeans,pearson_baseline,als,True,10,0.8001770476990194,0.46685094593079957,0.6402833076643187,0.16612021857923495,0.14472467423287097,64.75095785440614,upsampled_df_smote_auto
KNNWithMeans,pearson_baseline,sgd,False,5,0.881701288995137,0.5230223337783586,0.7773971630156862,0.17203219315895374,0.1118300713371136,60.91954022988506,upsampled_df_smote_auto
KNNWithMeans,pearson_baseline,sgd,False,10,0.8480505067418181,0.5015364597767099,0.7191896619850546,0.13802816901408452,0.09255392494829115,62.83524904214559,upsampled_df_smote_auto
KNNWithMeans,pearson_baseline,als,False,5,0.7567902252000761,0.4222886408773517,0.5727314449583819,0.20242763772175537,0.15382330088212443,67.43295019157088,upsampled_df_smote_auto
KNNWithMeans,pearson_baseline,als,False,10,0.7940487832477101,0.41902388267569296,0.6305134701771689,0.2375,0.21059027777777778,70.88122605363985,upsampled_df_smote_auto
KNNWithZScore,cosine,sgd,True,5,0.7554016387193815,0.40204856429020613,0.5706316357799269,0.24615384615384617,0.1898695054945055,70.11494252873564,upsampled_df_smote_auto
KNNWithZScore,cosine,sgd,True,10,0.8170675669622507,0.4927138379977493,0.667599408981612,0.1943502824858757,0.12460799419922051,61.30268199233716,upsampled_df_smote_auto
KNNWithZScore,cosine,als,True,5,0.8001068403588486,0.42501370128386645,0.6401709559890201,0.21354166666666666,0.17325498575498577,68.96551724137932,upsampled_df_smote_auto
KNNWithZScore,cosine,als,True,10,0.822557589966907,0.4821246045545357,0.6766009888121663,0.19966583124477863,0.14938419280524542,64.36781609195403,upsampled_df_smote_auto
KNNWithZScore,cosine,sgd,False,5,0.790285075635822,0.4590407695251451,0.6245505007727168,0.19672131147540983,0.15866510538641687,63.984674329501914,upsampled_df_smote_auto
KNNWithZScore,cosine,sgd,False,10,0.8638246209103457,0.4998447374047599,0.7461929756909025,0.1984126984126984,0.14894179894179893,63.601532567049816,upsampled_df_smote_auto
KNNWithZScore,cosine,als,False,5,0.8284493108784166,0.48451977024952636,0.6863282606949234,0.2092013888888889,0.16177884615384616,63.601532567049816,upsampled_df_smote_auto
